hypothesis,classification,scope,evidence,artifact_refs,boundaries,next_discriminator
H0 anonymous-port null,weakened,partially weakened across controlled artifact classes,A row transforms; B derived column proxy; C saturation; D refinement; E G/Split; F edge-label paths; G motion observer,reports/experiment_a_row_mode_stress.md; reports/experiment_b_column_interface_cancellation.md; reports/experiment_c_saturation.md; reports/experiment_d_refinement_identity.md; reports/experiment_e_coarse_graining_split.md; reports/experiment_f_path_disagreement.md; reports/experiment_g_mixed_motion.md,"Generic graph activity, landscape generality, and discriminator baselines remain for D-style tests.","D1, D2, D6, D7"
O1 rows behave as local differential modes,supported,supported in clean row-stress fixtures,Row-local stress matches the intended row; row permutation moves the signature; random relabel weakens clean interpretation.,reports/experiment_a_row_mode_stress.md,"Isotropic terms can dominate magnitude; result is fixture-level, not landscape-general.","D1, D2, D3"
O2 columns behave as interface/refinement/multiscale families,supported,"partially supported; strongest for derived column proxy, refinement, and G/Split",Column proxy transforms correctly; column-preserving refinement and G/Split reconstruction are supported.,reports/experiment_b_column_interface_cancellation.md; reports/experiment_d_refinement_identity.md; reports/experiment_e_coarse_graining_split.md,Direct column-H proxy-branch spark evidence is blocked under Lane A and available only in explicit Lane B/Lane C artifacts; dynamic routing and landscape-general column behavior are not established.,"D5, D7"
O3 ports carry row-column intersection behavior,supported,partially supported by observer-local mixed motion and port-level refinement/mapping,G classifies row-preserving/column-changing and column-preserving/row-changing transitions from port histories; D audits port-to-column refinement mapping.,reports/experiment_d_refinement_identity.md; reports/experiment_g_mixed_motion.md,Non-additive row x column interaction is not quantified; stronger D6 tests are still needed.,D6
"O4 metric, delay, and strongest-flux paths can disagree",supported,supported in controlled three-corridor fixture,"Metric path, temporal-delay path, and strongest flux/coupling path select distinct corridors; equalized controls collapse for intended label reasons.",reports/experiment_f_path_disagreement.md,"Edge-label result, not row/column semantic evidence by itself.",D2 if path labels become predictive targets
D1 factorization discriminator,supported,early O-style support only,"Structured row/column transforms preserve or move intended signatures; arbitrary S9 relabels weaken interpretability in A, B, and G.",reports/experiment_a_row_mode_stress.md; reports/experiment_b_column_interface_cancellation.md; reports/experiment_g_mixed_motion.md,Formal D1 should score semantic error across more artifacts and baselines.,D1
D2 predictive separation discriminator,inconclusive,not run as a predictive scoring discriminator,A-G provide feature targets but no predictive model comparison.,reports/experiment_a_row_mode_stress.md; reports/experiment_b_column_interface_cancellation.md; reports/experiment_f_path_disagreement.md; reports/experiment_g_mixed_motion.md,Needs row-vs-column-vs-port feature scoring against held-out artifact targets.,D2
D3 transpose discriminator,supported,partial support from transform controls,A/B transpose and random relabel controls remove or alter clean row/column claims.,reports/experiment_a_row_mode_stress.md; reports/experiment_b_column_interface_cancellation.md,Formal D3 should report transpose-specific deltas across all applicable artifact classes.,D3
D4 saturation discriminator,supported,supported under Lane A active-degree-9 signed-Hessian gate,Degree 7/8 stressed controls do not refine; degree 9 stressed fixture refines; degree 9 stable-Hessian control does not refine.,reports/experiment_c_saturation.md,Near-saturation degree-8 policy remains blocked under Lane A.,D4 formal report
D5 interface-memory discriminator,supported,mechanical column-preserving lineage supported; longer interface memory not established,Mechanical expansion reassigns all old boundary edges and preserves old boundary column to module endpoint column.,reports/experiment_d_refinement_identity.md,Post-refinement long-window interface memory and checkpoint-window identity persistence remain for later work.,D5
D6 port-interaction discriminator,inconclusive,"qualitative port-intersection witnesses exist, but no interaction model was fit",G and D show port-level mixed behavior and refinement mapping.,reports/experiment_d_refinement_identity.md; reports/experiment_g_mixed_motion.md,Needs row-only + column-only additive baseline versus row x column interaction terms.,D6
D7 multiscale discriminator,supported,supported for eligible fields and signed flux J+/J- split,Eligible nonnegative fields reconstruct near exactly; signed flux reconstructs exactly through J+/J-; compressed signed totals are lossy.,reports/experiment_e_coarse_graining_split.md,Semantic grouping superiority over row/random triples is deferred to formal D7.,D7
D8 identity-emergence discriminator,inconclusive,"configured-window child-basin persistence supported, stronger identity emergence not established",D records configured three-step runtime-state child-basin persistence after refinement.,reports/experiment_d_refinement_identity.md,Identity fission from expansion alone is not claimed; checkpoint-window and landscape-general persistence remain inconclusive.,D8
Motion observer,supported,observer-local support in clean checkpoint-overlay fixtures,G classifies dominant central-port transitions from port_edges and endpoint metadata.,reports/experiment_g_mixed_motion.md,"Reusable motion-loader full port history, basin-assignment motion, and landscape-general motion remain inconclusive.",future motion-loader port-history support
