experiment,schema_version,lane_id,seed,variant_id,transform_id,criterion_id,scoring_rule,score_field,direction,selected_path_id,selected_path_edges,selected_path_nodes,selected_score,score_tie_count,tie_count_before_lex,tie_candidate_path_ids,unresolved_tie,tie_break_rule
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,identity,P_metric,minimize_sum_geometric_length,metric_total,min,path_0_A_metric_short,0 1,0 1 9,2.0,1,1,path_0_A_metric_short,False,"prefer fewer edges, then lexicographic edge-id tuple"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,identity,P_delay,minimize_sum_temporal_delay,delay_total,min,path_1_B_delay_fast,2 3,0 2 9,0.36363636363633056,1,1,path_1_B_delay_fast,False,"prefer fewer edges, then lexicographic edge-id tuple"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,identity,P_flux_bottleneck,maximize_min_abs_signed_flux,flux_bottleneck,max,path_2_C_flux_strong,4 5,0 3 9,20.0,1,1,path_2_C_flux_strong,False,"prefer fewer edges, then lexicographic edge-id tuple"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,identity,P_coupling_bottleneck,maximize_min_flux_coupling,coupling_bottleneck,max,path_2_C_flux_strong,4 5,0 3 9,20.0,1,1,path_2_C_flux_strong,False,"prefer fewer edges, then lexicographic edge-id tuple"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,identity,P_flux_cumulative,maximize_sum_abs_signed_flux,flux_cumulative,max,path_2_C_flux_strong,4 5,0 3 9,40.0,1,1,path_2_C_flux_strong,False,"prefer fewer edges, then lexicographic edge-id tuple"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,identity,P_coupling_cumulative,maximize_sum_flux_coupling,coupling_cumulative,max,path_2_C_flux_strong,4 5,0 3 9,40.0,1,1,path_2_C_flux_strong,False,"prefer fewer edges, then lexicographic edge-id tuple"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,degree_preserving_random_relabel,P_metric,minimize_sum_geometric_length,metric_total,min,path_0_A_metric_short,0 1,0 1 9,2.0,1,1,path_0_A_metric_short,False,"prefer fewer edges, then lexicographic edge-id tuple"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,degree_preserving_random_relabel,P_delay,minimize_sum_temporal_delay,delay_total,min,path_1_B_delay_fast,2 3,0 2 9,0.36363636363633056,1,1,path_1_B_delay_fast,False,"prefer fewer edges, then lexicographic edge-id tuple"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,degree_preserving_random_relabel,P_flux_bottleneck,maximize_min_abs_signed_flux,flux_bottleneck,max,path_2_C_flux_strong,4 5,0 3 9,20.0,1,1,path_2_C_flux_strong,False,"prefer fewer edges, then lexicographic edge-id tuple"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,degree_preserving_random_relabel,P_coupling_bottleneck,maximize_min_flux_coupling,coupling_bottleneck,max,path_2_C_flux_strong,4 5,0 3 9,20.0,1,1,path_2_C_flux_strong,False,"prefer fewer edges, then lexicographic edge-id tuple"
